\lbrack	[	0x5b
\whitearrowupfrombar	⇪	0x21ea
\mathord	⍹	0x2379
\circleonrightarrow	⇴	0x21f4
\downuparrows	⇵	0x21f5
\rightthreearrows	⇶	0x21f6
\nvleftarrow	⇷	0x21f7
\pfun	⇸	0x21f8
\nvleftrightarrow	⇹	0x21f9
\nVleftarrow	⇺	0x21fa
\ffun	⇻	0x21fb
\nVleftrightarrow	⇼	0x21fc
\leftarrowtriangle	⇽	0x21fd
\rightarrowtriangle	⇾	0x21fe
\leftrightarrowtriangle	⇿	0x21ff
\forall	∀	0x2200
\complement	∁	0x2201
\partial	𝜕	0x1d715
\exists	∃	0x2203
\nexists	∄	0x2204
\varnothing	∅	0x2205
\emptyset	∅	0x2205
\increment	∆	0x2206
\nabla	∇	0x2207
\in	∈	0x2208
\notin	∉	0x2209
\smallin	∊	0x220a
\ni	∋	0x220b
\nni	∌	0x220c
\smallni	∍	0x220d
\QED	∎	0x220e
\prod	∏	0x220f
\coprod	∐	0x2210
\sum	∑	0x2211
-	−	0x2212
\mp	∓	0x2213
\dotplus	∔	0x2214
\slash	∕	0x2215
\smallsetminus	∖	0x2216
\ast	∗	0x2217
\circ	∘	0x2218
\bullet	∙	0x2219
\sqrt	√	0x221a
\sqrt[3]	∛	0x221b
\sqrt[4]	∜	0x221c
\propto	∝	0x221d
\infty	∞	0x221e
\rightangle	∟	0x221f
\angle	∠	0x2220
\measuredangle	∡	0x2221
\sphericalangle	∢	0x2222
\mid	∣	0x2223
\nmid	∤	0x2224
\parallel	∥	0x2225
\nparallel	∦	0x2226
\wedge	∧	0x2227
\vee	∨	0x2228
\land	∧	0x2227
\lor	∨	0x2228
\cap	∩	0x2229
\cup	∪	0x222a
\int	∫	0x222b
\iint	∬	0x222c
\iiint	∭	0x222d
\oint	∮	0x222e
\oiint	∯	0x222f
\oiiint	∰	0x2230
\intclockwise	∱	0x2231
\varointclockwise	∲	0x2232
\ointctrclockwise	∳	0x2233
\therefore	∴	0x2234
\because	∵	0x2235
\Proportion	∷	0x2237
\dotminus	∸	0x2238
\eqcolon	≕	0x2255
\dotsminusdots	∺	0x223a
\kernelcontraction	∻	0x223b
\sim	∼	0x223c
\backsim	∽	0x223d
\invlazys	∾	0x223e
\AC	∿	0x223f
\wr	≀	0x2240
\nsim	≁	0x2241
\eqsim	≂	0x2242
\simeq	≃	0x2243
\nsimeq	≄	0x2244
\cong	≅	0x2245
\simneqq	≆	0x2246
\ncong	≇	0x2247
\approx	≈	0x2248
\napprox	≉	0x2249
\approxeq	≊	0x224a
\approxident	≋	0x224b
\backcong	≌	0x224c
\asymp	≍	0x224d
\Bumpeq	≎	0x224e
\bumpeq	≏	0x224f
\doteq	≐	0x2250
\Doteq	≑	0x2251
\fallingdotseq	≒	0x2252
\risingdotseq	≓	0x2253
\coloneq	≔	0x2254
\eqcirc	≖	0x2256
\circeq	≗	0x2257
\arceq	≘	0x2258
\corresponds	≙	0x2259
\veeeq	≚	0x225a
\stareq	≛	0x225b
\triangleq	≜	0x225c
\eqdef	≝	0x225d
\measeq	≞	0x225e
\questeq	≟	0x225f
\neq	≠	0x2260
\not\\eq	≠	0x2260
\equiv	≡	0x2261
\nequiv	≢	0x2262
\Equiv	≣	0x2263
\leq	≤	0x2264
\geq	≥	0x2265
\leqq	≦	0x2266
\geqq	≧	0x2267
\lneqq	≨	0x2268
\gneqq	≩	0x2269
\ll	≪	0x226a
\gg	≫	0x226b
\between	≬	0x226c
\notasymp	≭	0x226d
\nless	≮	0x226e
\ngtr	≯	0x226f
\nleq	≰	0x2270
\ngeq	≱	0x2271
\lesssim	≲	0x2272
\gtrsim	≳	0x2273
\NotLessTilde	≴	0x2274
\NotGreaterTilde	≵	0x2275
\lessgtr	≶	0x2276
\gtrless	≷	0x2277
\nlessgtr	≸	0x2278
\NotGreaterLess	≹	0x2279
\prec	≺	0x227a
\succ	≻	0x227b
\preccurlyeq	≼	0x227c
\succcurlyeq	≽	0x227d
\precsim	≾	0x227e
\succsim	≿	0x227f
\nprec	⊀	0x2280
\nsucc	⊁	0x2281
\subset	⊂	0x2282
\supset	⊃	0x2283
\nsubset	⊄	0x2284
\nsupset	⊅	0x2285
\subseteq	⊆	0x2286
\supseteq	⊇	0x2287
\nsubseteq	⊈	0x2288
\nsupseteq	⊉	0x2289
\subsetneq	⊊	0x228a
\supsetneq	⊋	0x228b
\cupleftarrow	⊌	0x228c
\cupdot	⊍	0x228d
\uplus	⊎	0x228e
\sqsubset	⊏	0x228f
\sqsupset	⊐	0x2290
\sqsubseteq	⊑	0x2291
\sqsupseteq	⊒	0x2292
\sqcap	⊓	0x2293
\sqcup	⊔	0x2294
\oplus	⊕	0x2295
\ominus	⊖	0x2296
\otimes	⊗	0x2297
\oslash	⊘	0x2298
\odot	⊙	0x2299
\circledcirc	⊚	0x229a
\circledast	⊛	0x229b
