\lbrack	[	0x5b
\mbfscrU	𝓤	0x1d4e4
\mbfscrV	𝓥	0x1d4e5
\mbfscrW	𝓦	0x1d4e6
\mbfscrX	𝓧	0x1d4e7
\mbfscrY	𝓨	0x1d4e8
\mbfscrZ	𝓩	0x1d4e9
\mbfscra	𝓪	0x1d4ea
\mbfscrb	𝓫	0x1d4eb
\mbfscrc	𝓬	0x1d4ec
\mbfscrd	𝓭	0x1d4ed
\mbfscre	𝓮	0x1d4ee
\mbfscrf	𝓯	0x1d4ef
\mbfscrg	𝓰	0x1d4f0
\mbfscrh	𝓱	0x1d4f1
\mbfscri	𝓲	0x1d4f2
\mbfscrj	𝓳	0x1d4f3
\mbfscrk	𝓴	0x1d4f4
\mbfscrl	𝓵	0x1d4f5
\mbfscrm	𝓶	0x1d4f6
\mbfscrn	𝓷	0x1d4f7
\mbfscro	𝓸	0x1d4f8
\mbfscrp	𝓹	0x1d4f9
\mbfscrq	𝓺	0x1d4fa
\mbfscrr	𝓻	0x1d4fb
\mbfscrs	𝓼	0x1d4fc
\mbfscrt	𝓽	0x1d4fd
\mbfscru	𝓾	0x1d4fe
\mbfscrv	𝓿	0x1d4ff
\mbfscrw	𝔀	0x1d500
\mbfscrx	𝔁	0x1d501
\mbfscry	𝔂	0x1d502
\mbfscrz	𝔃	0x1d503
\mathfrak{A}	𝔄	0x1d504
\mathfrak{B}	𝔅	0x1d505
\mathfrak{D}	𝔇	0x1d507
\mathfrak{E}	𝔈	0x1d508
\mathfrak{F}	𝔉	0x1d509
\mathfrak{G}	𝔊	0x1d50a
\mathfrak{J}	𝔍	0x1d50d
\mathfrak{K}	𝔎	0x1d50e
\mathfrak{L}	𝔏	0x1d50f
\mathfrak{M}	𝔐	0x1d510
\mathfrak{N}	𝔑	0x1d511
\mathfrak{O}	𝔒	0x1d512
\mathfrak{P}	𝔓	0x1d513
\mathfrak{Q}	𝔔	0x1d514
\mathfrak{S}	𝔖	0x1d516
\mathfrak{T}	𝔗	0x1d517
\mathfrak{U}	𝔘	0x1d518
\mathfrak{V}	𝔙	0x1d519
\mathfrak{W}	𝔚	0x1d51a
\mathfrak{X}	𝔛	0x1d51b
\mathfrak{Y}	𝔜	0x1d51c
\mathfrak{a}	𝔞	0x1d51e
\mathfrak{b}	𝔟	0x1d51f
\mathfrak{c}	𝔠	0x1d520
\mathfrak{d}	𝔡	0x1d521
\mathfrak{e}	𝔢	0x1d522
\mathfrak{f}	𝔣	0x1d523
\mathfrak{g}	𝔤	0x1d524
\mathfrak{h}	𝔥	0x1d525
\mathfrak{i}	𝔦	0x1d526
\mathfrak{j}	𝔧	0x1d527
\mathfrak{k}	𝔨	0x1d528
\mathfrak{l}	𝔩	0x1d529
\mathfrak{m}	𝔪	0x1d52a
\mathfrak{n}	𝔫	0x1d52b
\mathfrak{o}	𝔬	0x1d52c
\mathfrak{p}	𝔭	0x1d52d
\mathfrak{q}	𝔮	0x1d52e
\mathfrak{r}	𝔯	0x1d52f
\mathfrak{s}	𝔰	0x1d530
\mathfrak{t}	𝔱	0x1d531
\mathfrak{u}	𝔲	0x1d532
\mathfrak{v}	𝔳	0x1d533
\mathfrak{w}	𝔴	0x1d534
\mathfrak{x}	𝔵	0x1d535
\mathfrak{y}	𝔶	0x1d536
\mathfrak{z}	𝔷	0x1d537
\mathbb{A}	𝔸	0x1d538
\mathbb{B}	𝔹	0x1d539
\mathbb{D}	𝔻	0x1d53b
\mathbb{E}	𝔼	0x1d53c
\mathbb{F}	𝔽	0x1d53d
\mathbb{G}	𝔾	0x1d53e
\mathbb{I}	𝕀	0x1d540
\mathbb{J}	𝕁	0x1d541
\mathbb{K}	𝕂	0x1d542
\mathbb{L}	𝕃	0x1d543
\mathbb{M}	𝕄	0x1d544
\mathbb{O}	𝕆	0x1d546
\mathbb{S}	𝕊	0x1d54a
\mathbb{T}	𝕋	0x1d54b
\mathbb{U}	𝕌	0x1d54c
\mathbb{V}	𝕍	0x1d54d
\mathbb{W}	𝕎	0x1d54e
\mathbb{X}	𝕏	0x1d54f
\mathbb{Y}	𝕐	0x1d550
\mathbb{a}	𝕒	0x1d552
\mathbb{b}	𝕓	0x1d553
\mathbb{c}	𝕔	0x1d554
\mathbb{d}	𝕕	0x1d555
\mathbb{e}	𝕖	0x1d556
\mathbb{f}	𝕗	0x1d557
\mathbb{g}	𝕘	0x1d558
\mathbb{h}	𝕙	0x1d559
\mathbb{i}	𝕚	0x1d55a
\mathbb{j}	𝕛	0x1d55b
\mathbb{k}	𝕜	0x1d55c
\mathbb{l}	𝕝	0x1d55d
\mathbb{m}	𝕞	0x1d55e
\mathbb{n}	𝕟	0x1d55f
\mathbb{o}	𝕠	0x1d560
\mathbb{p}	𝕡	0x1d561
\mathbb{q}	𝕢	0x1d562
\mathbb{r}	𝕣	0x1d563
\mathbb{s}	𝕤	0x1d564
\mathbb{t}	𝕥	0x1d565
\mathbb{u}	𝕦	0x1d566
\mathbb{v}	𝕧	0x1d567
\mathbb{w}	𝕨	0x1d568
\mathbb{x}	𝕩	0x1d569
\mathbb{y}	𝕪	0x1d56a
\mathbb{z}	𝕫	0x1d56b
\mbffrakA	𝕬	0x1d56c
\mbffrakB	𝕭	0x1d56d
\mbffrakC	𝕮	0x1d56e
\mbffrakD	𝕯	0x1d56f
\mbffrakE	𝕰	0x1d570
\mbffrakF	𝕱	0x1d571
\mbffrakG	𝕲	0x1d572
\mbffrakH	𝕳	0x1d573
\mbffrakI	𝕴	0x1d574
\mbffrakJ	𝕵	0x1d575
\mbffrakK	𝕶	0x1d576
\mbffrakL	𝕷	0x1d577
\mbffrakM	𝕸	0x1d578
\mbffrakN	𝕹	0x1d579
\mbffrakO	𝕺	0x1d57a
\mbffrakP	𝕻	0x1d57b
\mbffrakQ	𝕼	0x1d57c
\mbffrakR	𝕽	0x1d57d
\mbffrakS	𝕾	0x1d57e
\mbffrakT	𝕿	0x1d57f
\mbffrakU	𝖀	0x1d580
\mbffrakV	𝖁	0x1d581
\mbffrakW	𝖂	0x1d582
\mbffrakX	𝖃	0x1d583
\mbffrakY	𝖄	0x1d584
\mbffrakZ	𝖅	0x1d585
\mbffraka	𝖆	0x1d586
\mbffrakb	𝖇	0x1d587
\mbffrakc	𝖈	0x1d588
\mbffrakd	𝖉	0x1d589
\mbffrake	𝖊	0x1d58a
\mbffrakf	𝖋	0x1d58b
\mbffrakg	𝖌	0x1d58c
\mbffrakh	𝖍	0x1d58d
\mbffraki	𝖎	0x1d58e
\mbffrakj	𝖏	0x1d58f
\mbffrakk	𝖐	0x1d590
\mbffrakl	𝖑	0x1d591
\mbffrakm	𝖒	0x1d592
\mbffrakn	𝖓	0x1d593
\mbffrako	𝖔	0x1d594
\mbffrakp	𝖕	0x1d595
\mbffrakq	𝖖	0x1d596
\mbffrakr	𝖗	0x1d597
\mbffraks	𝖘	0x1d598
\mbffrakt	𝖙	0x1d599
\mbffraku	𝖚	0x1d59a
\mbffrakv	𝖛	0x1d59b
\mbffrakw	𝖜	0x1d59c
\mbffrakx	𝖝	0x1d59d
\mbffraky	𝖞	0x1d59e
\mbffrakz	𝖟	0x1d59f
\mathsf{A}	𝖠	0x1d5a0
\mathsf{B}	𝖡	0x1d5a1
\mathsf{C}	𝖢	0x1d5a2
\mathsf{D}	𝖣	0x1d5a3
\mathsf{E}	𝖤	0x1d5a4
\mathsf{F}	𝖥	0x1d5a5
\mathsf{G}	𝖦	0x1d5a6
\mathsf{H}	𝖧	0x1d5a7
\mathsf{I}	𝖨	0x1d5a8
\mathsf{J}	𝖩	0x1d5a9
\mathsf{K}	𝖪	0x1d5aa
\mathsf{L}	𝖫	0x1d5ab
\mathsf{M}	𝖬	0x1d5ac
\mathsf{N}	𝖭	0x1d5ad
\mathsf{O}	𝖮	0x1d5ae
\mathsf{P}	𝖯	0x1d5af
\mathsf{Q}	𝖰	0x1d5b0
\mathsf{R}	𝖱	0x1d5b1
\mathsf{S}	𝖲	0x1d5b2
\mathsf{T}	𝖳	0x1d5b3
\mathsf{U}	𝖴	0x1d5b4
\mathsf{V}	𝖵	0x1d5b5
\mathsf{W}	𝖶	0x1d5b6
\mathsf{X}	𝖷	0x1d5b7
\mathsf{Y}	𝖸	0x1d5b8
\mathsf{Z}	𝖹	0x1d5b9
\mathsf{a}	𝖺	0x1d5ba
\mathsf{b}	𝖻	0x1d5bb
\mathsf{c}	𝖼	0x1d5bc
\mathsf{d}	𝖽	0x1d5bd
\mathsf{e}	𝖾	0x1d5be
\mathsf{f}	𝖿	0x1d5bf
\mathsf{g}	𝗀	0x1d5c0
\mathsf{h}	𝗁	0x1d5c1
\mathsf{i}	𝗂	0x1d5c2
\mathsf{j}	𝗃	0x1d5c3
\mathsf{k}	𝗄	0x1d5c4
\mathsf{l}	𝗅	0x1d5c5
\mathsf{m}	𝗆	0x1d5c6
\mathsf{n}	𝗇	0x1d5c7
\mathsf{o}	𝗈	0x1d5c8
\mathsf{p}	𝗉	0x1d5c9
\mathsf{q}	𝗊	0x1d5ca
\mathsf{r}	𝗋	0x1d5cb
\mathsf{s}	𝗌	0x1d5cc
\mathsf{t}	𝗍	0x1d5cd
\mathsf{u}	𝗎	0x1d5ce
\mathsf{v}	𝗏	0x1d5cf
\mathsf{w}	𝗐	0x1d5d0
\mathsf{x}	𝗑	0x1d5d1
\mathsf{y}	𝗒	0x1d5d2
\mathsf{z}	𝗓	0x1d5d3
\mathsfbf{A}	𝗔	0x1d5d4
\mathsfbf{B}	𝗕	0x1d5d5
\mathsfbf{C}	𝗖	0x1d5d6
\mathsfbf{D}	𝗗	0x1d5d7
\mathsfbf{E}	𝗘	0x1d5d8
\mathsfbf{F}	𝗙	0x1d5d9
\mathsfbf{G}	𝗚	0x1d5da
\mathsfbf{H}	𝗛	0x1d5db
\mathsfbf{I}	𝗜	0x1d5dc
\mathsfbf{J}	𝗝	0x1d5dd
\mathsfbf{K}	𝗞	0x1d5de
\mathsfbf{L}	𝗟	0x1d5df
\mathsfbf{M}	𝗠	0x1d5e0
\mathsfbf{N}	𝗡	0x1d5e1
\mathsfbf{O}	𝗢	0x1d5e2
\mathsfbf{P}	𝗣	0x1d5e3
\mathsfbf{Q}	𝗤	0x1d5e4
\mathsfbf{R}	𝗥	0x1d5e5
\mathsfbf{S}	𝗦	0x1d5e6
\mathsfbf{T}	𝗧	0x1d5e7
\mathsfbf{U}	𝗨	0x1d5e8
\mathsfbf{V}	𝗩	0x1d5e9
\mathsfbf{W}	𝗪	0x1d5ea
\mathsfbf{X}	𝗫	0x1d5eb
\mathsfbf{Y}	𝗬	0x1d5ec
\mathsfbf{Z}	𝗭	0x1d5ed
\mathsfbf{a}	𝗮	0x1d5ee
\mathsfbf{b}	𝗯	0x1d5ef
\mathsfbf{c}	𝗰	0x1d5f0
\mathsfbf{d}	𝗱	0x1d5f1
\mathsfbf{e}	𝗲	0x1d5f2
\mathsfbf{f}	𝗳	0x1d5f3
\mathsfbf{g}	𝗴	0x1d5f4
\mathsfbf{h}	𝗵	0x1d5f5
\mathsfbf{i}	𝗶	0x1d5f6
\mathsfbf{j}	𝗷	0x1d5f7
\mathsfbf{k}	𝗸	0x1d5f8
\mathsfbf{l}	𝗹	0x1d5f9
\mathsfbf{m}	𝗺	0x1d5fa
\mathsfbf{n}	𝗻	0x1d5fb
\mathsfbf{o}	𝗼	0x1d5fc
\mathsfbf{p}	𝗽	0x1d5fd
\mathsfbf{q}	𝗾	0x1d5fe
\mathsfbf{r}	𝗿	0x1d5ff
\mathsfbf{s}	𝘀	0x1d600
\mathsfbf{t}	𝘁	0x1d601
\mathsfbf{u}	𝘂	0x1d602
\mathsfbf{v}	𝘃	0x1d603
\mathsfbf{w}	𝘄	0x1d604
\mathsfbf{x}	𝘅	0x1d605
\mathsfbf{y}	𝘆	0x1d606
\mathsfbf{z}	𝘇	0x1d607
\mathsfit{A}	𝘈	0x1d608
\mathsfit{B}	𝘉	0x1d609
\mathsfit{C}	𝘊	0x1d60a
\mathsfit{D}	𝘋	0x1d60b
\mathsfit{E}	𝘌	0x1d60c
\mathsfit{F}	𝘍	0x1d60d
\mathsfit{G}	𝘎	0x1d60e
\mathsfit{H}	𝘏	0x1d60f
\mathsfit{I}	𝘐	0x1d610
\mathsfit{J}	𝘑	0x1d611
\mathsfit{K}	𝘒	0x1d612
\mathsfit{L}	𝘓	0x1d613
\mathsfit{M}	𝘔	0x1d614
\mathsfit{N}	𝘕	0x1d615
\mathsfit{O}	𝘖	0x1d616
\mathsfit{P}	𝘗	0x1d617
\mathsfit{Q}	𝘘	0x1d618
\mathsfit{R}	𝘙	0x1d619
\mathsfit{S}	𝘚	0x1d61a
\mathsfit{T}	𝘛	0x1d61b
\mathsfit{U}	𝘜	0x1d61c
\mathsfit{V}	𝘝	0x1d61d
\mathsfit{W}	𝘞	0x1d61e
\mathsfit{X}	𝘟	0x1d61f
\mathsfit{Y}	𝘠	0x1d620
\mathsfit{Z}	𝘡	0x1d621
\mathsfit{a}	𝘢	0x1d622
\mathsfit{b}	𝘣	0x1d623
\mathsfit{c}	𝘤	0x1d624
\mathsfit{d}	𝘥	0x1d625
\mathsfit{e}	𝘦	0x1d626
\mathsfit{f}	𝘧	0x1d627
\mathsfit{g}	𝘨	0x1d628
\mathsfit{h}	𝘩	0x1d629
\mathsfit{i}	𝘪	0x1d62a
\mathsfit{j}	𝘫	0x1d62b
\mathsfit{k}	𝘬	0x1d62c
\mathsfit{l}	𝘭	0x1d62d
\mathsfit{m}	𝘮	0x1d62e
\mathsfit{n}	𝘯	0x1d62f
\mathsfit{o}	𝘰	0x1d630
\mathsfit{p}	𝘱	0x1d631
\mathsfit{q}	𝘲	0x1d632
\mathsfit{r}	𝘳	0x1d633
\mathsfit{s}	𝘴	0x1d634
\mathsfit{t}	𝘵	0x1d635
\mathsfit{u}	𝘶	0x1d636
\mathsfit{v}	𝘷	0x1d637
\mathsfit{w}	𝘸	0x1d638
\mathsfit{x}	𝘹	0x1d639
\mathsfit{y}	𝘺	0x1d63a
\mathsfit{z}	𝘻	0x1d63b
\mathsfbfit{A}	𝘼	0x1d63c
\mathsfbfit{B}	𝘽	0x1d63d
\mathsfbfit{C}	𝘾	0x1d63e
\mathsfbfit{D}	𝘿	0x1d63f
\mathsfbfit{E}	𝙀	0x1d640
\mathsfbfit{F}	𝙁	0x1d641
\mathsfbfit{G}	𝙂	0x1d642
\mathsfbfit{H}	𝙃	0x1d643
\mathsfbfit{I}	𝙄	0x1d644
\mathsfbfit{J}	𝙅	0x1d645
\mathsfbfit{K}	𝙆	0x1d646
\mathsfbfit{L}	𝙇	0x1d647
\mathsfbfit{M}	𝙈	0x1d648
\mathsfbfit{N}	𝙉	0x1d649
\mathsfbfit{O}	𝙊	0x1d64a
\mathsfbfit{P}	𝙋	0x1d64b
\mathsfbfit{Q}	𝙌	0x1d64c
\mathsfbfit{R}	𝙍	0x1d64d
\mathsfbfit{S}	𝙎	0x1d64e
\mathsfbfit{T}	𝙏	0x1d64f
\mathsfbfit{U}	𝙐	0x1d650
\mathsfbfit{V}	𝙑	0x1d651
\mathsfbfit{W}	𝙒	0x1d652
\mathsfbfit{X}	𝙓	0x1d653
\mathsfbfit{Y}	𝙔	0x1d654
\mathsfbfit{Z}	𝙕	0x1d655
\mathsfbfit{a}	𝙖	0x1d656
\mathsfbfit{b}	𝙗	0x1d657
\mathsfbfit{c}	𝙘	0x1d658
\mathsfbfit{d}	𝙙	0x1d659
\mathsfbfit{e}	𝙚	0x1d65a
\mathsfbfit{f}	𝙛	0x1d65b
\mathsfbfit{g}	𝙜	0x1d65c
\mathsfbfit{h}	𝙝	0x1d65d
\mathsfbfit{i}	𝙞	0x1d65e
\mathsfbfit{j}	𝙟	0x1d65f
\mathsfbfit{k}	𝙠	0x1d660
\mathsfbfit{l}	𝙡	0x1d661
\mathsfbfit{m}	𝙢	0x1d662
\mathsfbfit{n}	𝙣	0x1d663
\mathsfbfit{o}	𝙤	0x1d664
\mathsfbfit{p}	𝙥	0x1d665
\mathsfbfit{q}	𝙦	0x1d666
\mathsfbfit{r}	𝙧	0x1d667
\mathsfbfit{s}	𝙨	0x1d668
\mathsfbfit{t}	𝙩	0x1d669
\mathsfbfit{u}	𝙪	0x1d66a
\mathsfbfit{v}	𝙫	0x1d66b
\mathsfbfit{w}	𝙬	0x1d66c
\mathsfbfit{x}	𝙭	0x1d66d
\mathsfbfit{y}	𝙮	0x1d66e
\mathsfbfit{z}	𝙯	0x1d66f
\mathtt{A}	𝙰	0x1d670
\mathtt{B}	𝙱	0x1d671
\mathtt{C}	𝙲	0x1d672
\mathtt{D}	𝙳	0x1d673
\mathtt{E}	𝙴	0x1d674
\mathtt{F}	𝙵	0x1d675
\mathtt{G}	𝙶	0x1d676
\mathtt{H}	𝙷	0x1d677
\mathtt{I}	𝙸	0x1d678
\mathtt{J}	𝙹	0x1d679
\mathtt{K}	𝙺	0x1d67a
\mathtt{L}	𝙻	0x1d67b
\mathtt{M}	𝙼	0x1d67c
\mathtt{N}	𝙽	0x1d67d
\mathtt{O}	𝙾	0x1d67e
\mathtt{P}	𝙿	0x1d67f
\mathtt{Q}	𝚀	0x1d680
\mathtt{R}	𝚁	0x1d681
\mathtt{S}	𝚂	0x1d682
\mathtt{T}	𝚃	0x1d683
\mathtt{U}	𝚄	0x1d684
\mathtt{V}	𝚅	0x1d685
\mathtt{W}	𝚆	0x1d686
\mathtt{X}	𝚇	0x1d687
\mathtt{Y}	𝚈	0x1d688
\mathtt{Z}	𝚉	0x1d689
\mathtt{a}	𝚊	0x1d68a
\mathtt{b}	𝚋	0x1d68b
\mathtt{c}	𝚌	0x1d68c
\mathtt{d}	𝚍	0x1d68d
\mathtt{e}	𝚎	0x1d68e
\mathtt{f}	𝚏	0x1d68f
\mathtt{g}	𝚐	0x1d690
\mathtt{h}	𝚑	0x1d691
\mathtt{i}	𝚒	0x1d692
\mathtt{j}	𝚓	0x1d693
\mathtt{k}	𝚔	0x1d694
\mathtt{l}	𝚕	0x1d695
\mathtt{m}	𝚖	0x1d696
\mathtt{n}	𝚗	0x1d697
\mathtt{o}	𝚘	0x1d698
\mathtt{p}	𝚙	0x1d699
\mathtt{q}	𝚚	0x1d69a
\mathtt{r}	𝚛	0x1d69b
\mathtt{s}	𝚜	0x1d69c
\mathtt{t}	𝚝	0x1d69d
\mathtt{u}	𝚞	0x1d69e
\mathtt{v}	𝚟	0x1d69f
\mathtt{w}	𝚠	0x1d6a0
\mathtt{x}	𝚡	0x1d6a1
\mathtt{y}	𝚢	0x1d6a2
\mathtt{z}	𝚣	0x1d6a3
\mbfAlpha	𝚨	0x1d6a8
\mbfBeta	𝚩	0x1d6a9
\mathbf{\\Gamma}	𝚪	0x1d6aa
\mathbf{\\Delta}	𝚫	0x1d6ab
\mbfEpsilon	𝚬	0x1d6ac
\mbfZeta	𝚭	0x1d6ad
\mbfEta	𝚮	0x1d6ae
\mathbf{\\Theta}	𝚯	0x1d6af
\mbfIota	𝚰	0x1d6b0
\mbfKappa	𝚱	0x1d6b1
\mathbf{\\Lambda}	𝚲	0x1d6b2
\mbfMu	𝚳	0x1d6b3
\mbfNu	𝚴	0x1d6b4
\mathbf{\\Xi}	𝚵	0x1d6b5
\mbfOmicron	𝚶	0x1d6b6
\mathbf{\\Pi}	𝚷	0x1d6b7
\mbfRho	𝚸	0x1d6b8
\mbfvarTheta	𝚹	0x1d6b9
\mathbf{\\Sigma}	𝚺	0x1d6ba
\mbfTau	𝚻	0x1d6bb
\mathbf{\\Upsilon}	𝚼	0x1d6bc
\mathbf{\\Phi}	𝚽	0x1d6bd
\mbfChi	𝚾	0x1d6be
\mathbf{\\Psi}	𝚿	0x1d6bf
\mathbf{\\Omega}	𝛀	0x1d6c0
\mbfnabla	𝛁	0x1d6c1
\mathbf{\\alpha}	𝛂	0x1d6c2
\mathbf{\\beta}	𝛃	0x1d6c3
\mathbf{\\gamma}	𝛄	0x1d6c4
\mathbf{\\delta}	𝛅	0x1d6c5
\mathbf{\\varepsilon}	𝛆	0x1d6c6
\mathbf{\\zeta}	𝛇	0x1d6c7
\mathbf{\\eta}	𝛈	0x1d6c8
\mathbf{\\theta}	𝛉	0x1d6c9
\mathbf{\\iota}	𝛊	0x1d6ca
\mathbf{\\kappa}	𝛋	0x1d6cb
\mathbf{\\lambda}	𝛌	0x1d6cc
\mathbf{\\mu}	𝛍	0x1d6cd
\mathbf{\\nu}	𝛎	0x1d6ce
\mathbf{\\xi}	𝛏	0x1d6cf
\mbfomicron	𝛐	0x1d6d0
\mathbf{\\pi}	𝛑	0x1d6d1
\mathbf{\\rho}	𝛒	0x1d6d2
\mathbf{\\varsigma}	𝛓	0x1d6d3
\mathbf{\\sigma}	𝛔	0x1d6d4
\mathbf{\\tau}	𝛕	0x1d6d5
\mathbf{\\upsilon}	𝛖	0x1d6d6
\mathbf{\\varphi}	𝛗	0x1d6d7
\mathbf{\\chi}	𝛘	0x1d6d8
\mathbf{\\psi}	𝛙	0x1d6d9
\mathbf{\\omega}	𝛚	0x1d6da
\mbfpartial	𝛛	0x1d6db
\mathbf{\\epsilon}	𝛜	0x1d6dc
\mathbf{\\vartheta}	𝛝	0x1d6dd
\mbfvarkappa	𝛞	0x1d6de
\mathbf{\\phi}	𝛟	0x1d6df
\mathbf{\\varrho}	𝛠	0x1d6e0
\mathbf{\\varpi}	𝛡	0x1d6e1
\mitAlpha	𝛢	0x1d6e2
\mitBeta	𝛣	0x1d6e3
\mitEpsilon	𝛦	0x1d6e6
\mitZeta	𝛧	0x1d6e7
\mitEta	𝛨	0x1d6e8
\mitIota	𝛪	0x1d6ea
\mitKappa	𝛫	0x1d6eb
\mitMu	𝛭	0x1d6ed
\mitNu	𝛮	0x1d6ee
\mitOmicron	𝛰	0x1d6f0
\mitRho	𝛲	0x1d6f2
\mitvarTheta	𝛳	0x1d6f3
\mitTau	𝛵	0x1d6f5
\mitChi	𝛸	0x1d6f8
\mitnabla	𝛻	0x1d6fb
\mitomicron	𝜊	0x1d70a
\mbfitAlpha	𝜜	0x1d71c
\mbfitBeta	𝜝	0x1d71d
\mathbfit{\\Gamma}	𝜞	0x1d71e
\mathbfit{\\Delta}	𝜟	0x1d71f
\mbfitEpsilon	𝜠	0x1d720
\mbfitZeta	𝜡	0x1d721
\mbfitEta	𝜢	0x1d722
\mathbfit{\\Theta}	𝜣	0x1d723
\mbfitIota	𝜤	0x1d724
\mbfitKappa	𝜥	0x1d725
\mathbfit{\\Lambda}	𝜦	0x1d726
\mbfitMu	𝜧	0x1d727
\mbfitNu	𝜨	0x1d728
\mathbfit{\\Xi}	𝜩	0x1d729
\mbfitOmicron	𝜪	0x1d72a
\mathbfit{\\Pi}	𝜫	0x1d72b
\mbfitRho	𝜬	0x1d72c
\mbfitvarTheta	𝜭	0x1d72d
\mathbfit{\\Sigma}	𝜮	0x1d72e
\mbfitTau	𝜯	0x1d72f
\mathbfit{\\Upsilon}	𝜰	0x1d730
\mathbfit{\\Phi}	𝜱	0x1d731
\mbfitChi	𝜲	0x1d732
\mathbfit{\\Psi}	𝜳	0x1d733
\mathbfit{\\Omega}	𝜴	0x1d734
\mbfitnabla	𝜵	0x1d735
\mathbfit{\\alpha}	𝜶	0x1d736
\mathbfit{\\beta}	𝜷	0x1d737
\mathbfit{\\gamma}	𝜸	0x1d738
\mathbfit{\\delta}	𝜹	0x1d739
\mathbfit{\\varepsilon}	𝜺	0x1d73a
\mathbfit{\\zeta}	𝜻	0x1d73b
\mathbfit{\\eta}	𝜼	0x1d73c
\mathbfit{\\theta}	𝜽	0x1d73d
\mathbfit{\\iota}	𝜾	0x1d73e
\mathbfit{\\kappa}	𝜿	0x1d73f
\mathbfit{\\lambda}	𝝀	0x1d740
\mathbfit{\\mu}	𝝁	0x1d741
\mathbfit{\\nu}	𝝂	0x1d742
\mathbfit{\\xi}	𝝃	0x1d743
\mbfitomicron	𝝄	0x1d744
\mathbfit{\\pi}	𝝅	0x1d745
\mathbfit{\\rho}	𝝆	0x1d746
\mathbfit{\\varsigma}	𝝇	0x1d747
\mathbfit{\\sigma}	𝝈	0x1d748
\mathbfit{\\tau}	𝝉	0x1d749
\mathbfit{\\upsilon}	𝝊	0x1d74a
\mathbfit{\\varphi}	𝝋	0x1d74b
\mathbfit{\\chi}	𝝌	0x1d74c
\mathbfit{\\psi}	𝝍	0x1d74d
\mathbfit{\\omega}	𝝎	0x1d74e
\mbfitpartial	𝝏	0x1d74f
\mathbfit{\\epsilon}	𝝐	0x1d750
\mathbfit{\\vartheta}	𝝑	0x1d751
\mbfitvarkappa	𝝒	0x1d752
\mathbfit{\\phi}	𝝓	0x1d753
\mathbfit{\\varrho}	𝝔	0x1d754
\mathbfit{\\varpi}	𝝕	0x1d755
\mbfsansAlpha	𝝖	0x1d756
\mbfsansBeta	𝝗	0x1d757
\mathsfbf{\\Gamma}	𝝘	0x1d758
\mathsfbf{\\Delta}	𝝙	0x1d759
\mbfsansEpsilon	𝝚	0x1d75a
\mbfsansZeta	𝝛	0x1d75b
\mbfsansEta	𝝜	0x1d75c
\mathsfbf{\\Theta}	𝝝	0x1d75d
\mbfsansIota	𝝞	0x1d75e
\mbfsansKappa	𝝟	0x1d75f
\mathsfbf{\\Lambda}	𝝠	0x1d760
\mbfsansMu	𝝡	0x1d761
\mbfsansNu	𝝢	0x1d762
\mathsfbf{\\Xi}	𝝣	0x1d763
\mbfsansOmicron	𝝤	0x1d764
\mathsfbf{\\Pi}	𝝥	0x1d765
\mbfsansRho	𝝦	0x1d766
\mbfsansvarTheta	𝝧	0x1d767
\mathsfbf{\\Sigma}	𝝨	0x1d768
\mbfsansTau	𝝩	0x1d769
\mathsfbf{\\Upsilon}	𝝪	0x1d76a
\mathsfbf{\\Phi}	𝝫	0x1d76b
\mbfsansChi	𝝬	0x1d76c
\mathsfbf{\\Psi}	𝝭	0x1d76d
\mathsfbf{\\Omega}	𝝮	0x1d76e
\mbfsansnabla	𝝯	0x1d76f
\mathsfbf{\\alpha}	𝝰	0x1d770
\mathsfbf{\\beta}	𝝱	0x1d771
\mathsfbf{\\gamma}	𝝲	0x1d772
\mathsfbf{\\delta}	𝝳	0x1d773
\mathsfbf{\\varepsilon}	𝝴	0x1d774
\mathsfbf{\\zeta}	𝝵	0x1d775
\mathsfbf{\\eta}	𝝶	0x1d776
\mathsfbf{\\theta}	𝝷	0x1d777
\mathsfbf{\\iota}	𝝸	0x1d778
\mathsfbf{\\kappa}	𝝹	0x1d779
\mathsfbf{\\lambda}	𝝺	0x1d77a
\mathsfbf{\\mu}	𝝻	0x1d77b
\mathsfbf{\\nu}	𝝼	0x1d77c
\mathsfbf{\\xi}	𝝽	0x1d77d
\mbfsansomicron	𝝾	0x1d77e
\mathsfbf{\\pi}	𝝿	0x1d77f
\mathsfbf{\\rho}	𝞀	0x1d780
\mathsfbf{\\varsigma}	𝞁	0x1d781
\mathsfbf{\\sigma}	𝞂	0x1d782
\mathsfbf{\\tau}	𝞃	0x1d783
\mathsfbf{\\upsilon}	𝞄	0x1d784
\mathsfbf{\\varphi}	𝞅	0x1d785
\mathsfbf{\\chi}	𝞆	0x1d786
\mathsfbf{\\psi}	𝞇	0x1d787
\mathsfbf{\\omega}	𝞈	0x1d788
\mbfsanspartial	𝞉	0x1d789
\mathsfbf{\\epsilon}	𝞊	0x1d78a
\mathsfbf{\\vartheta}	𝞋	0x1d78b
\mbfsansvarkappa	𝞌	0x1d78c
\mathsfbf{\\phi}	𝞍	0x1d78d
\mathsfbf{\\varrho}	𝞎	0x1d78e
\mathsfbf{\\varpi}	𝞏	0x1d78f
\mbfitsansAlpha	𝞐	0x1d790
\mbfitsansBeta	𝞑	0x1d791
\mathsfbfit{\\Gamma}	𝞒	0x1d792
